notation,prefLabel,prefLabel_en,altLabel,definition,type[Overall],type[Terms],broader,scopeNote,source,sub-profile,macheco-id,howto,Verpflichtungsgrad,Feldwert,Wiederholbar,Unsicher,Empfohlene Vokabulare,relatedEntity_Entity,exactMatch_URI,DataCite,DCAT,schema.org,DublinCore,NFDI core,CIDOC CRM,Wikidata
EKUR4C,Products,,,Stable outcomes of creative work.,Class,,T5DNO2,,open-archeo tags,,,,,,,,,,,,,,,,,
R1AD8L,Guides,,,An educational resource or documented protocol meant to instruct readers how to apply relevant tools or techniques.,Class,,T5DNO2,,open-archeo tags,,,,,,,,,,,,,,,,,
WWODJN,Lists and datasets,,,A series of consistently organized observations assembled with purpose.,Class,,T5DNO2,,open-archeo tags,,,,,,,,,,,,,,,,,
>> Entities,,,,,,,,,,,,,,,,,,,,,,,,,,
DGSLS7,E1 Entity,E1 Entity,,This class comprises all things in the universe of discourse of the CIDOC Conceptual Reference Model.,Class,,T06G7I,,CIDOC-CRM v7.1.3,,macheco:F-DGSLS7,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity,,,,,,,
M3NSIV,E39 Actor,E39 Actor,,"This class comprises people, either individually or in groups, who have the potential to perform intentional actions of kinds for which they can be held responsible.",Class,,DGSLS7,,CIDOC-CRM v7.1.3,,macheco:F-M3NSIV,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E39_Actor,,,,,,,
FFYJTZ,E53 Place,E53 Place,,"This class comprises extents in the natural space where people live, in particular on the surface of the Earth, in the pure sense of physics: independent from temporal phenomena and matter. They may serve describing the physical location of things or phenomena or other areas of interest.",Class,,DGSLS7,,CIDOC-CRM v7.1.3,,macheco:F-FFYJTZ,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E53_Place,,,,,,,
RKNT00,E2 Temporal Entity,E2 Temporal Entity,,"This class comprises all phenomena, such as the instances of E4 Periods and E5 Events, which happen over a limited extent in time. This extent in time must be contiguous, i.e., without gaps.",Class,,DGSLS7,,CIDOC-CRM v7.1.3,,macheco:F-RKNT00,,,,,,,,,,,,,,,
XNDA95,E5 Event,E5 Event,,"This class comprises distinct, delimited and coherent processes and interactions of a material nature, in cultural, social or physical systems, involving and affecting instances of E77 Persistent Item in a way characteristic of the kind of process.",Class,,RKNT00,,CIDOC-CRM v7.1.3,,macheco:F-XNDA95,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E5_Event,,,,,,,
PKXD5U,E70 Thing,E70 Thing,,"This general class comprises discrete, identifiable, instances of E77 Persistent Item that are documented as single units, that either consist of matter or depend on being carried by matter and are characterized by relative stability.",Class,,DGSLS7,,CIDOC-CRM v7.1.3,,macheco:F-PKXD5U,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E70_Thing,,,,,,,
E54Q7Z,E71 Human Made Thing,E71 Human Made Thing,,"This class comprises discrete, identifiable human-made items that are documented as single units.",Class,,PKXD5U,,CIDOC-CRM v7.1.3,,macheco:F-E54Q7Z,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E71_Human-Made_Thing,,,,,,,
